numunitid,obsval,source_code_description,description,target,predicted_source_code_description
3463,15,,Serum prolactin level,,percent
5404,15,,633,,percent
3382,15,,nmol/10*9(platelets),,billion per liter
12091,15,,z,,percent
9245,15,,ukat,,percent
5541,15,,588,,percent
6655,15,,Million per ml,,million per milliliter
12366,15,,days?,,percent
18467,15,,Sd below age now,,percent
4133,15,,mcgs,,percent
13416,15,,days off asthma,,percent
6918,15,,658,,percent
10130,15,,cigarettes: 20/day f,,per 24 hours
23390,15,,6/7mg,,percent
26227,15,,WBC 6.82,,percent
5925,15,,Helicobacter blood test,,percent
24147,15,,Good,,percent
14076,15,,cn,,percent
12708,15,,days ago,,percent
25724,15,,WBC 5.30,,percent
13114,15,,14.5,,percent
10493,15,,Lymphocyte count NOS,,percent
3956,15,,10 day,,billion per liter
6290,15,,cs,,percent
6553,15,,9 U/week,,percent
10823,15,,g/ week,,percent
14099,15,,Serum creatinine low,,percent
10077,15,,b,,percent
16973,15,,Hgmm,,percent
3871,15,,1G,,percent
6477,15,,most days,,percent
5449,15,,593,,percent
5952,15,,Blood sent: cardiac enzymes,,percent
6309,15,,mM/mHB,,millimeter per hour
4439,15,,units previous week,,unit per week
7004,15,,733,,percent
12579,15,,weeka,,percent
9605,15,,14.2,,percent
10753,15,,HDL (mmol/l),,millimole per liter
14818,15,,WBC 6.68,,percent
8546,15,,WBC 5.62,,percent
6239,15,,mg/L^mg/L,,milligram per millimole of creatinine
4410,15,,nmol/nmol,,nanomole per 24 hours
330,15,,apcr,,percent
17797,15,,plasma,,percent
8910,15,,bottle,,percent
7200,15,,10-19,,billion per liter
20500,15,,mmol/lcollection,,millimole per liter
26773,15,,WBC 7.22,,percent
5979,15,,Serum ferritin normal,,percent
22061,15,,WBC 6.67,,percent
14708,15,,val,,percent
12277,15,,x 10 9 /L,,billion per liter
13413,15,,packs/week,,percent
26470,15,,WBC 6.12,,score
24912,15,,ERGO#,,percent
9111,15,,594,,percent
25730,15,,WBC 5.81,,percent
25205,15,,WBC 4.70,,percent
11014,15,,IWOTCH study,,percent
26725,15,,WBC 4.91,,percent
6193,15,,entsp,,percent
5932,15,,Lab. test requested - not done,,percent
9611,15,,Plasma factor XII level,,percent
25091,15,,noraml,,percent
2460,15,,never,,percent
26734,15,,WBC 5.92,,percent
13847,15,,cu.mm.,,per cubic millimeter
2925,15,,Procedures (quantity),,percent
9068,15,,2014,,percent
7047,15,,ex smoker,,percent
25469,15,,WBC 6.30,,percent
5279,15,,687,,percent
5006,15,,717,,percent
4237,15,,RBC's - sickle cells present,,percent
20526,15,,dayslost,,percent
16951,15,,WBC 7.14,,percent
3420,15,,/week.,,percent
27044,15,,WBC 5.87,,percent
26222,15,,WBC 6.34,,percent
3799,15,,25/day,,gram per 24 hours
13648,15,,Faeces pH,,percent
22821,15,,?/L,,percent
3334,15,,.5,,percent
27036,15,,WBC 4.95,,percent
10725,15,,DS,,percent
6211,15,,5/16,,percent
27052,15,,WBC 6.56,,percent
13360,15,,non fasting glucose,,percent
1991,15,,nmol/1,,nanomole per 24 hours
25745,15,,WBC 7.32,,percent
8863,15,,1/12,,score
10005,15,,c/day,,gram per 24 hours
11389,15,,U/2month,,percent
1809,14,,Hrs:Mins,,percent
5052,14,,731,,percent
7066,14,,lU/ml,,percent
23988,14,,exp = 0.00 - 2.30,,percent
22580,14,,Inhibin- A   MOM,,percent
10503,14,,Faeces colour: normal,,percent
7939,14,,x10~6/ml,,billion per liter
14645,14,,normal / n,,percent
10096,14,,miu/,,percent
26761,14,,WBC 5.66,,percent
24638,14,,10*3 ul,,billion per liter
20365,14,,.09,,percent
10944,14,,/*/*,,percent
5903,14,,Vomit: coffee ground,,percent
13220,14,,every other day,,gram per 24 hours
4399,14,,(0.86-1.25),,percent
12987,14,,FRAX score,,score
14332,14,,CHA2DS2-VASc,,percent
1025,14,,days/3 mths,,percent
3907,14,,2013,,percent
3401,14,,oz week,,percent
3057,14,,CSF chemistry normal,,percent
25742,14,,WBC 6.97,,percent
11149,14,,weeks],,percent
26493,14,,WBC 8.47,,percent
7781,14,,parts/million,,percent
6468,14,,mcg/litre,,percent
20770,14,,kh/m2,,percent
7055,14,,nights/wk in 1/12,,trillion per liter
3806,14,,nmol/mg ptn/h,,nanomole per 24 hours
26748,14,,WBC 6.96,,percent
6026,14,,Nasal swab,,percent
3559,14,,Sperm no./cc v.low: 0-10 mill.,,billion per liter
10676,14,,Faeces:red currant jelly stool,,percent
18478,14,,WBC 6.10,,billion per liter
23207,14,,Post 1,,percent
19089,14,,WBC 6.84,,percent
25222,14,,WBC 6.21,,score
25220,14,,WBC 5.96,,percent
13351,14,,ROLL/DAY,,gram per 24 hours
9752,14,,nmol/g dry weight,,nanomole per 24 hours
2929,14,,7U/week,,percent
18763,14,,WBC 5.53,,percent
6609,14,,at 16 Wks,,percent
24369,14,,/100 WBC's seen.,,percent
6262,14,,ltr/m,,percent
3846,14,,2times/week,,percent
2736,14,,g /week,,percent
21486,14,,titres of adb,,percent
7163,14,,-2,,percent
8795,14,,U/10^12RBC,,billion per liter
6472,14,,cans a day,,percent
14049,14,,mic/l,,percent
13130,14,,nnml/l,,percent
3998,14,,U/week14,,percent
2973,14,,FAST,,percent
25723,14,,WBC 5.21,,score
26235,14,,WBC 7.58,,percent
25467,14,,WBC 6.18,,percent
8745,14,,Theophylline: blood level,,percent
12977,14,,Each day,,gram per 24 hours
21752,14,,WBC 5.54,,percent
3440,14,,Widal (salmonella) test,,percent
21532,14,,hour.mins,,percent
15824,14,,mm0l,,percent
5820,14,,776,,percent
5889,14,,Renal function test NOS,,percent
5708,14,,(2.1,,percent
24072,14,,exp = 64 - 80,,percent
4809,14,,(Normal 0.8-1.2),,percent
15858,14,,mIU/mL[0,,percent
469,14,,Haematology result abnormal,,percent
14656,14,,mmol/L/unit of insulin,,millimole per liter
9841,14,,1.5,,percent
14644,14,,or 4 well,,percent
14646,14,,BENIGN LES,,percent
26223,14,,WBC 6.48,,percent
1630,14,,brothers,,percent
3468,14,,Gonadotrophin levels normal,,percent
2666,14,,6U/week,,percent
4781,14,,U/annually,,percent
26213,14,,WBC 5.42,,percent
13609,14,,times per month,,per month
10067,14,,4.5,,percent
11313,14,,mg/mmols,,milligram per millimole of creatinine
7125,14,,hip score,,score
14007,14,,iu ratio,,ratio
1745,14,,hrs post coitus,,percent
22372,14,,WBC 6.28,,percent
4398,14,,(0.86-1.20),,percent
8028,14,,nmol/L.,,nanomole per 24 hours
10056,14,,(UMOL/L),,percent
12478,14,,/20 a day,,gram per 24 hours
7729,14,,cans per week,,percent
20033,14,,quit,,percent
22777,14,,U/quaterly,,percent
6662,14,,exacerbation,,percent
16351,14,,Times in last 12 months,,trillion per liter
3903,14,,pack/week,,percent
26758,14,,WBC 5.41,,percent
22300,14,,WBC 7.57,,percent
16230,14,,x10^6/cm^3,,billion per liter
4922,14,,716,,percent
11394,14,,g/2week,,percent
7238,14,,655,,percent
25234,14,,WBC 7.56,,percent
13381,14,,x 10'9/l,,billion per liter
6927,14,,741,,percent
7978,14,,{cylinders},,percent
5918,14,,Urine dipstick for glucose,,percent
6082,14,,Wound swab culture positive,,percent
1775,14,,calories,,percent
25751,14,,WBC 7.96,,percent
22924,14,,/ 35,,percent
6482,14,,WBC 6.09,,percent
26774,14,,WBC 7.27,,score
11923,14,,{Hu}/mL,,percent
5161,14,,614,,percent
5516,14,,684,,percent
8902,14,,units/month,,percent
7756,14,,5.4,,percent
18589,14,,6/6,,percent
26229,14,,WBC 7.03,,percent
1814,14,,times/week7,,percent
25722,14,,WBC 5.19,,percent
6875,14,,672,,percent
1487,14,,cells/cubic mm,,millimeter per hour
1915,14,,x 10^9,,billion per liter
25483,14,,WBC 7.64,,percent
13100,14,,ug/Lnge,,percent
14634,14,,pmol/8 x 10*8 red blood cells,,billion cells per liter
6917,14,,712,,percent
26215,14,,WBC 5.61,,percent
7868,14,,/day20,,percent
10144,14,,cigarettes: 15/day f,,per 24 hours
28433,14,,perc,,percent
3140,14,,.....,,percent
5078,14,,899,,percent
15272,14,,/Roll ups,,percent
6036,14,,Serum free beta HCG level,,percent
10782,14,,times/4 weeks,,percent
10055,14,,ANNUALLY,,percent
16836,14,,mmol/ mol,,millimole per liter
14500,14,,(U/l),,percent
5216,14,,761,,percent
544,14,,Serum beta 2 microglobulin level,,percent
3615,14,,Laboratory test due,,percent
3693,14,,Urine pregnancy test NOS,,percent
10445,14,,Sperm motility,,percent
26766,14,,WBC 6.16,,percent
5821,14,,740,,percent
2341,14,,international u/l,,percent
1082,14,,times/weekly,,percent
13870,14,,/quarter,,percent
13720,14,,rolls per day,,per 24 hours
4205,14,,Blood potassium level,,percent
26778,14,,WBC 7.47,,percent
10702,14,,Colour index normal,,percent
9244,13,,pmol/ml,,percent
25448,13,,WBC 4.86,,percent
12162,13,,oz/pw,,percent
4770,13,,765,,percent
18020,13,,mIU/m1,,percent
22292,13,,WBC 6.87,,percent
3070,13,,nmol/g dry wt.,,nanomole per 24 hours
26488,13,,WBC 8.02,,percent
9066,13,,665,,percent
9932,13,,Urine blood test NOS,,percent
11181,13,,nmol/gHb,,nanomole per 24 hours
5345,13,,631,,percent
11067,13,,ex cigars/day,,per 24 hours
7948,13,,mPA@25C.,,percent
26732,13,,WBC 5.83,,percent
16422,13,,g/per week,,per week
20059,13,,weeks in service,,percent
25739,13,,WBC 6.62,,percent
17859,13,,dsDNA binding,,percent
6236,13,,g/mol^g/mol,,percent
25731,13,,WBC 5.86,,percent
17684,13,,Amphetamine in urine,,percent
23538,13,,9.5mg daily,,percent
10849,13,,times/ 2 weeks,,percent
14635,13,,g/cmÃÂ²,,percent
14199,13,,10\S\12/L,,trillion per liter
16901,13,,Urine culture - Pseudomonas,,percent
6575,13,,mmol/mmol Cr,,millimole per liter
2746,13,,0.2,,percent
26237,13,,WBC 7.83,,percent
26762,13,,WBC 5.79,,percent
3684,13,,Faeces: parasite present,,percent
25846,13,,better,,percent
25074,13,,improved,,percent
10551,13,,cig/per day,,per 24 hours
12896,13,,x10 6/ejac,,billion per liter
25726,13,,WBC 5.44,,percent
9576,13,,12.2,,score
5035,13,,721,,percent
22536,13,,/vape,,percent
10471,13,,Lupus anticoagulant index,,percent
2661,13,,MPLU/l,,percent
25214,13,,WBC 5.39,,percent
18476,13,,WBC 5.85,,percent
5416,13,,802,,percent
5255,13,,934,,percent
4093,13,,times/6 months,,percent
11221,13,,u/d,,percent
3036,13,,Faeces odour: normal,,percent
6958,13,,699,,percent
25444,13,,WBC 4.52,,percent
8928,13,,8U/week,,percent
11987,13,,1 in,,percent
25207,13,,WBC 4.89,,percent
4939,13,,770,,percent
22060,13,,WBC 6.03,,percent
20936,13,,WBC 5.09,,percent
7217,13,,years * U^0.5 * L*0.5 * 10^(-9),,billion per liter
9112,13,,678,,percent
5306,13,,874,,percent
12062,13,,U/lHI,,percent
23819,13,,PFR - expected,,percent
7886,13,,every 2 months,,percent
6956,13,,764,,percent
7132,13,,Ltrs per Minute,,percent
25447,13,,WBC 4.78,,percent
26487,13,,WBC 8.00,,percent
4491,13,,mmols/mmol,,millimole per liter
3331,13,,units/per day,,per 24 hours
19093,13,,WBC 8.38,,percent
2331,13,,X10/9/l,,billion per liter
16444,13,,n/mol,,percent
6645,13,,20 per day,,per 24 hours
3841,13,,IFCC,,percent
16854,13,,Blast cell count,,percent
1460,13,,irregular,,percent
25456,13,,WBC 5.57,,percent
27049,13,,WBC 6.37,,percent
13680,13,,calculated Framingha,,percent
19001,13,,Maximum,,percent
15307,13,,Thoracic,,percent
8974,13,,100 WBCs,,percent
6717,13,,Serum insulin,,percent
18474,13,,WBC 5.65,,percent
9852,13,,approximately,,percent
17826,13,,- rarely,,percent
22343,13,,Ã¦mol/24HR,,percent
25476,13,,WBC 7.17,,percent
18567,13,,2020,,percent
25741,13,,WBC 6.90,,percent
16953,13,,WBC 7.87,,percent
13348,13,,mg weekly,,percent
6926,13,,826,,percent
7850,13,,Rose Waaler test,,percent
20930,13,,U/per month,,percent
10684,13,,RBC count borderline low,,percent
5451,13,,775,,percent
564,13,,Syphilis titre test positive,,percent
18477,13,,WBC 6.00,,percent
16006,13,,g/dI,,percent
19002,13,,Minimum,,percent
25479,13,,WBC 7.37,,percent
3269,13,,gmmol/L,,percent
1735,13,,far,,percent
4911,13,,644,,percent
26771,13,,WBC 6.86,,percent
8830,13,,Alc score,,score
25454,13,,WBC 5.31,,percent
10292,13,,Urine specific gravity normal,,percent
10474,13,,Urine smell normal,,percent
741,13,,Varicella-zoster IgG level,,percent
26736,13,,WBC 5.99,,percent
14494,13,,mmol/LFasting,,millimole per liter
7839,13,,Post mortem exam.,,percent
26787,13,,WBC 8.60,,percent
4915,13,,734,,percent
2174,13,,ANA Ratio,,percent
9336,13,,T,,percent
26207,13,,WBC 5.04,,percent
9121,13,,FCs/50 LPFs,,percent
19086,13,,WBC 5.34,,percent
2467,13,,mg/12hrs,,percent
12193,13,,mosoles/kg,,kilogram per square meter
26004,13,,WBC 4.63,,percent
25738,13,,WBC 6.52,,percent
3446,13,,Sputum microscopy,,percent
10378,13,,Anti-neut cytoplasm antib lev,,percent
24310,13,,ng/mml,,percent
26821,13,,WBC 8.12,,score
4272,13,,(0-15) U/mL,,percent
11371,13,,3-4,,percent
13064,13,,venous sample,,percent
18951,13,,/9 a day,,gram per 24 hours
7019,13,,711,,percent
25235,13,,WBC 7.81,,percent
10392,13,,Urine specific gravity high,,percent
22555,13,,ng/L  (220-1100),,percent
26767,13,,WBC 6.17,,percent
14439,13,,AFP MoMs,,percent
5753,13,,6.2,,percent
5824,13,,out of 21,,percent
10412,13,,Direct Coombs test positive,,percent
7370,13,,wks/days,,percent
3586,13,,O/E - blood pressure decreased,,percent
16053,13,,L umol/L,,percent
7270,13,,833,,percent
467,13,,HIV negative,,percent
10851,13,,times/3 weeks,,percent
23584,13,,8mg daily,,percent
17695,13,,Phenothiazine in urine,,percent
15636,13,,iu/L*,,international unit per liter
9514,13,,umol/umol,,micromole per 24 hours
3427,13,,Int,,percent
23138,12,,mm Hg + mm Hg:,,millimeter mercury column
13190,12,,every 3 weeks,,percent
8956,12,,Hepatitis B antibody present,,percent
10544,12,,cigs/week,,day per week
7768,12,,6/16,,percent
10186,12,,Alcohol units/week,,unit per week
4897,12,,738,,percent
13073,12,,rollups,,percent
7765,12,,ounces a week,,percent
9895,12,,Sample: bacteria sensitive,,percent
281,12,,ug/gfaeces,,percent
2554,12,,g/G,,percent
6006,12,,MSU = equivocal,,percent
26756,12,,WBC 5.27,,score
27050,12,,WBC 6.43,,percent
4351,12,,mcg/100ml,,percent
4345,12,,Alc Units/wk,,unit per week
12484,12,,weels,,percent
15253,12,,cm/year,,centimeter
10236,12,,/ 6 points,,percent
13046,12,,times / month,,percent
10014,12,,WBC 7.05,,percent
5476,12,,879,,percent
2349,12,,abs,,percent
16110,12,,ugmol/l,,percent
15333,12,,klU/L,,percent
27063,12,,WBC 8.01,,percent
5346,12,,812,,percent
7225,12,,957,,percent
3079,12,,Hepatitis B surface antigen level,,percent
6652,12,,fbc,,percent
6822,12,,u/gHb(2SD),,percent
26479,12,,WBC 7.09,,percent
5632,12,,789,,percent
24040,12,,exp = 25 - 380,,percent
9256,12,,Cx. smear: repeat 4 months,,percent
5262,12,,753,,percent
4443,12,,100g/week,,percent
23445,12,,7MG/8MG ALT,,percent
22591,12,,WBC 4.67,,percent
20977,12,,U/ocassionally,,percent
2712,12,,per 100 WBC's,,per 100 white blood cells
15160,12,,fl:,,percent
19909,12,,WBC 6.79,,percent
18301,12,,levels,,percent
4824,12,,No./wk,,percent
9102,12,,749,,percent
11309,12,,8.5,,percent
20945,12,,WBC 8.04,,percent
11047,12,,umol/l cells,,billion cells per liter
17625,12,,or more,,percent
15892,12,,moll,,percent
6939,12,,921,,percent
27040,12,,WBC 5.10,,billion per liter
23209,12,,PredLL,,percent
22557,12,,ug/L  (3.5-14.0),,percent
7758,12,,.>,,percent
5156,12,,821,,percent
10201,12,,mls TPH,,percent
18053,12,,"days/28,",,score
9961,12,,U/2 week,,percent
20777,12,,stepsx1000,,percent
5183,12,,706,,percent
15245,12,,g/(24.h),,percent
6651,12,,0 times/week,,per week
8980,12,,CIGAR/DAY,,gram per 24 hours
24795,12,,2/4 times a month,,percent
25233,12,,WBC 7.54,,percent
4986,12,,881,,percent
4870,12,,25 C,,percent
6373,12,,rcp asthma question,,percent
6478,12,,bottles wine/day,,gram per 24 hours
10728,12,,umol/mmol Crea,,millimole per liter
4260,12,,Plasma creatinine level,,percent
3033,12,,cells/mm,,millimeter per hour
18452,12,,IRAS Ref,,percent
6708,12,,602,,percent
23210,12,,PredUL,,percent
17042,12,,/years.quit,,percent
11868,12,,pint/week,,percent
3719,12,,times a month,,percent
5504,12,,784,,percent
10072,12,,packs/day,,gram per 24 hours
12288,12,,/pack,,percent
9493,12,,ng/ml:,,nanogram per milliliter
17283,12,,Immunoglobulin A,,percent
26730,12,,WBC 5.45,,percent
24770,12,,U/occasioanlly,,percent
13023,12,,Fluores treponem antibody test,,percent
10319,12,,Urine magnesium,,percent
5472,12,,918,,percent
20811,12,,WBC 7.89,,percent
23324,12,,3mg/3mg/4mg alt,,percent
13809,12,,11.9,,percent
17468,12,,Day of Cycle =,,percent
5995,12,,Anti-nuclear factor negative,,percent
4767,12,,weeks/days,,percent
2652,12,,6 Days,,percent
4024,12,,mmol/ol,,millimole per liter
27060,12,,WBC 7.80,,percent
10371,12,,Serum proteins NOS,,percent
5791,12,,Faeces odour: offensive,,percent
7254,12,,H fl,,percent
12990,12,,L/u,,percent
11667,12,,next test,,percent
11874,12,,pmol/Hr/mg,,millimeter per hour
5468,12,,732,,percent
24737,12,,mU/l   (Adu,,percent
4891,12,,647,,percent
21880,12,,U/Montlhy,,percent
1653,12,,sisters,,percent
4238,12,,Urine bacteria test: positive,,percent
16019,12,,h mg/L,,percent
11329,12,,(- T score),,score
6483,12,,litres/week,,percent
10414,12,,Immuno-electrophoresis,,percent
6415,12,,value,,percent
20372,12,,.80,,percent
8817,12,,/2 months,,percent
3726,12,,Serum random triglyceride level,,percent
4752,12,,points PHQ-9 score,,score
21887,12,,ug/g(dry wt),,percent
5856,12,,Serum angiotensin 1 + 11,,percent
7040,12,,688,,percent
18888,12,,pmol/8x10^8RBCs,,percent
3847,12,,1times/week,,percent
15241,12,,/2019,,percent
4451,12,,10-15,,billion per liter
19088,12,,WBC 6.72,,percent
11291,12,,lites,,percent
10008,12,,mmol/mol (creat),,millimole per liter
3503,12,,Neutrophil count NOS,,percent
25460,12,,WBC 5.78,,percent
9561,12,,30g,,percent
25228,12,,WBC 6.80,,percent
3102,12,,2hrs post prandial,,percent
13095,12,,3/40,,percent
4010,12,,?/day,,gram per 24 hours
6055,12,,Chlamydia antigen ELISA negative,,percent
6714,12,,Bleeding time,,percent
25473,12,,WBC 6.88,,percent
25484,12,,WBC 7.72,,percent
5976,12,,Serum fasting glucose level,,percent
9617,12,,Renal function tests borderline,,percent
24025,12,,exp = 2 - 10,,billion per liter
19911,12,,WBC 7.91,,percent
25225,12,,WBC 6.57,,percent
4181,12,,reb Bld cell Dist,,percent
4358,12,,packet,,percent
25717,12,,WBC 4.82,,percent
9595,12,,mg/g Creat,,milligram per millimole of creatinine
3390,12,,( <5 ),,percent
26463,12,,WBC 5.24,,percent
2147,12,,mU/L(0.5-4.7),,percent
24049,12,,exp = 3.8 - 5.8,,percent
17258,12,,iu/lge,,international unit per liter
3964,12,,times/6months,,percent
17403,12,,time/week,,percent
19091,12,,WBC 7.48,,percent
9295,12,,MM/100,,millimeter per hour
26219,12,,WBC 6.13,,percent
7754,12,,15 minute sessions,,percent
5597,12,,848,,percent
4097,12,,Ounces per day,,per 24 hours
11376,12,,10*1 iu/mL,,billion per liter
7227,12,,653,,percent
15944,12,,ug/g(faeces),,percent
20164,12,,vaping,,percent
5933,12,,7.4,,percent
25470,12,,WBC 6.50,,percent
1522,12,,per/month,,percent
20071,12,,uUI/ml,,percent
5967,12,,Penile swab taken,,percent
26731,12,,WBC 5.47,,percent
21242,12,,WBC 6.61,,percent
6543,12,,less than,,percent
11049,12,,x10^6/ej (>40/ej),,billion per liter
23070,12,,umol/L *,,percent
5418,12,,758,,percent
12281,12,,mmols/,,millimole per liter
7719,12,,15g/week,,percent
25455,12,,WBC 5.43,,percent
5873,12,,Helicobacter serology negative,,percent
10651,12,,weel,,percent
4981,12,,739,,percent
12080,12,,1 Month,,percent
6874,12,,931,,percent
14650,12,,umol/L.,,percent
27450,12,,pmol/8 x10^8 RBCs,,billion per liter
26465,12,,WBC 5.51,,percent
15745,12,,10^9/CUMM,,billion per liter
12495,12,,days#,,percent
10689,12,,Plas 5-alpha-dihydrotestos lev,,percent
3995,12,,4.7,,percent
3414,12,,Category,,percent
689,12,,Clotting tests,,percent
8798,12,,Kg loss from baseline wt,,kilogram per square meter
3242,12,,0.4 - 6.4,,percent
10516,12,,Blood sent for HTLV-3 serology,,percent
24007,12,,exp = 12 - 16,,score
18754,12,,p/mol,,percent
15718,12,,ml/minute/1.73 sq.cm,,centimeter
19140,12,,IU/L *,,international unit per liter
26790,12,,WBC 8.96,,percent
11271,12,,pd,,percent
4230,12,,Gastric function tests,,percent
15967,12,,Fp24 fee,,percent
10362,12,,O/E: inspection of blood,,percent
26768,12,,WBC 6.23,,percent
18083,12,,mosmol/kgH2O,,percent
12550,12,,dauys,,percent
23307,11,,Dose 3mg daily,,percent
6388,11,,cent,,percent
15339,11,,smoking,,percent
26236,11,,WBC 7.77,,percent
2455,11,,bottles wine/week,,percent
25475,11,,WBC 7.08,,percent
21362,11,,IU/mL Heparin,,international unit per liter
8001,11,,g/3 days,,percent
12278,11,,degree's,,percent
1549,11,,cig's per day,,per 24 hours
4990,11,,772,,percent
3314,11,,----,,percent
4748,11,,GPL-UmL,,percent
26760,11,,WBC 5.59,,percent
25217,11,,WBC 5.88,,percent
21249,11,,year +,,percent
10913,11,,762,,percent
26964,11,,very raised,,percent
20057,11,,time in service/week,,percent
6308,11,,mmol/mmol Hb,,millimole per liter
9849,11,,Plasma antithrombin III level,,percent
25488,11,,WBC 8.18,,percent
21304,11,,ug/Hb g,,percent
9011,11,,nmol/mmol{Creatinine},,millimole per liter
5486,11,,792,,percent
24110,11,,blank,,percent
27033,11,,WBC 4.44,,percent
2038,11,,mmmols,,percent
19284,11,,NOS,,percent
10044,11,,5.7,,percent
11890,11,,705,,percent
9851,11,,Laboratory blood sugar,,percent
11310,11,,microlitre,,percent
4006,11,,u anti-Xa/ml plasma,,percent
7981,11,,iu/10*12 Rbc,,trillion per liter
3845,11,,5U/week,,percent
10900,11,,mg/mmo1,,percent
8840,11,,MUST,,percent
1836,11,,pmol/hr/ml,,millimeter per hour
14703,11,,Synovial fluid for organism,,percent
23536,11,,8MG/9MG ALT,,percent
3157,11,,CHADS2-VASc Score 3/,,score
25754,11,,WBC 8.11,,percent
4343,11,,nmol/colle,,nanomole per 24 hours
11011,11,,Grammes/week,,percent
5420,11,,745,,percent
18501,11,,million per ejaculate,,percent
9019,11,,u/,,percent
10149,11,,Free androgens,,percent
17160,11,,3 weeks,,percent
9190,11,,mg/mml C,,percent
27047,11,,WBC 6.01,,percent
12232,11,,4 or more times a wk,,percent
19190,11,,unit/pw,,percent
5197,11,,838,,percent
2264,11,,GPM U/ml,,percent
5651,11,,816,,percent
5574,11,,852,,percent
25732,11,,WBC 5.91,,percent
15206,11,,(no change),,percent
15353,11,,/2weeks,,percent
27053,11,,WBC 6.58,,percent
16060,11,,L mmol/L,,millimole per liter
11176,11,,micrg/L,,percent
12669,11,,wee,,percent
17505,11,,WBC 5.22,,percent
26478,11,,WBC 7.04,,percent
12019,11,,10/9LHI,,billion per liter
26474,11,,WBC 6.65,,percent
14384,11,,Age + HCG + AFP Risk,,percent
14630,11,,week +2,,percent
7017,11,,778,,percent
7807,11,,RBC count NOS,,percent
10291,11,,Faeces: no foreign constituent,,percent
21024,11,,(g),,percent
11266,11,,AFP - Corrected MoM,,percent
6971,11,,785,,percent
11017,11,,gEl/gSTL,,percent
20825,11,,WBC 5.11,,percent
2433,11,,4/12,,score
13133,11,,occasionaly,,percent
8796,11,,10*3 copies/mL,,billion per liter
16810,11,,Urine Noradr/Creatin,,percent
27045,11,,WBC 5.95,,percent
26809,11,,WBC 7.10,,billion per liter
7016,11,,CPMSID,,percent
9042,11,,5.0,,percent
9170,11,,-20/day,,gram per 24 hours
14654,11,,4.2,,percent
6076,11,,Serum vit B12 borderline,,percent
22019,11,,U/days,,percent
26376,11,,stable no change,,percent
13323,11,,cigerettes,,percent
21267,11,,-7 U/week,,percent
26221,11,,WBC 6.27,,score
7384,11,,mls/min/1.73sqm,,milliliter per minute per 1.73 square meter
7859,11,,2015,,percent
19991,11,,mmol/mol IFCC Units,,millimole per liter
19982,11,,10*9 cells/H,,billion cells per liter
5454,11,,853,,percent
11795,11,,minus,,percent
25725,11,,WBC 5.35,,percent
26780,11,,WBC 7.65,,percent
6160,11,,ozs/week,,percent
5374,11,,933,,percent
10105,11,,10*9/1,,billion per liter
24938,11,,not indicated,,percent
10833,11,,l/pper min,,percent
26483,11,,WBC 7.50,,percent
558,11,,^iu/mL,,international unit per liter
10218,11,,20g/week,,percent
22692,11,,umol/:,,percent
4162,11,,U/week10,,percent
3262,11,,CHADS2 Score 4/6: Pa,,score
2216,11,,d/wk,,percent
2812,11,,times/week2,,percent
2789,11,,OD units,,percent
5336,11,,707,,percent
5200,11,,000,,percent
19092,11,,WBC 7.86,,percent
2513,11,,cells/cumm,,percent
25457,11,,WBC 5.58,,percent
14518,11,,/48 Hip Score,,score
13879,11,,pmol/8.(10*8){RBCs},,billion per liter
7160,11,,mg/nmol creat,,nanomole per 24 hours
25481,11,,WBC 7.46,,percent
6170,11,,pmol/h/mg{Hb},,percent hemoglobin
8811,11,,1-2/day,,gram per 24 hours
26224,11,,WBC 6.51,,percent
5929,11,,Ferritin level low,,percent
13841,11,,weeks & 3 days,,percent
2778,11,,@ 10 mins,,billion per liter
22303,11,,WBC 7.71,,percent
13497,11,,l/mth,,percent
23364,11,,1mg/1mg/2mg,,percent
6606,11,,pcmol/L,,percent
3278,11,,Cigarettes: 10/day f,,billion per liter
5513,11,,814,,percent
6458,11,,mmol(Ca)/mmol(Creat),,millimole per liter
26196,11,,WBC 4.10,,billion per liter
13869,11,,UML/24,,percent
2705,11,,<RESULTS CONTINUED ON NEXT PAGE>,,percent
5435,11,,685,,percent
8933,11,,bottles/day,,gram per 24 hours
13928,11,,social drinker,,percent
25755,11,,WBC 8.23,,percent
6151,11,,attempts in year,,percent
13839,11,,/3 days,,percent
11252,11,,Days off work last 12m,,percent
12913,11,,mm in 1 ho,,millimeter per hour
5863,11,,Lab. test result borderline,,percent
7141,11,,per millilitre,,percent
27039,11,,WBC 5.08,,percent
22296,11,,WBC 7.23,,percent
26715,11,,WBC 4.15,,percent
22301,11,,WBC 7.66,,percent
1956,11,,U/mnth,,percent
26234,11,,WBC 7.43,,percent
18475,11,,WBC 5.70,,percent
13089,11,,gm / 24hr,,percent
25464,11,,WBC 6.08,,percent
14800,11,,week +6,,percent
7829,11,,/ 24,,percent
13619,11,,10*6/ejac,,billion per liter
3264,11,,],,percent
13804,11,,6.1,,percent
15976,11,,WBC 5.28,,percent
11554,11,,1-4,,percent
7298,11,,times/week 7,,per week
23997,11,,exp = 0.85 - 1.45,,percent
6756,11,,glasses/monthly,,percent
12000,11,,mIU/lHI,,percent
7206,11,,ng TDP/gm Hb,,percent
5591,11,,750,,percent
10960,11,,864,,percent
3046,11,,Hepatitis B surface antibody level,,percent
9033,11,,RF titre,,percent
13695,11,,rollies/day,,gram per 24 hours
11194,11,,week +3,,percent
